grid_id,center_lat,center_lng,sw_lat,sw_lng,ne_lat,ne_lng
168,37.528638,126.960846,37.528412,126.960562,37.528863,126.961131
169,37.528638,126.961415,37.528412,126.961131,37.528863,126.961699
170,37.528638,126.961983,37.528412,126.961699,37.528863,126.962267
171,37.528638,126.962551,37.528412,126.962267,37.528863,126.962835
172,37.528638,126.963119,37.528412,126.962835,37.528863,126.963404
173,37.528638,126.963688,37.528412,126.963404,37.528863,126.963972
174,37.528638,126.964256,37.528412,126.963972,37.528863,126.96454
175,37.528638,126.964824,37.528412,126.96454,37.528863,126.965108
176,37.528638,126.965392,37.528412,126.965108,37.528863,126.965676
177,37.528638,126.965961,37.528412,126.965676,37.528863,126.966245
178,37.528638,126.966529,37.528412,126.966245,37.528863,126.966813
179,37.528638,126.967097,37.528412,126.966813,37.528863,126.967381
180,37.528638,126.967665,37.528412,126.967381,37.528863,126.967949
181,37.528638,126.968234,37.528412,126.967949,37.528863,126.968518
182,37.529088,126.956869,37.528863,126.956585,37.529313,126.957153
183,37.529088,126.957437,37.528863,126.957153,37.529313,126.957721
184,37.529088,126.958005,37.528863,126.957721,37.529313,126.958289
185,37.529088,126.958573,37.528863,126.958289,37.529313,126.958858
186,37.529088,126.959142,37.528863,126.958858,37.529313,126.959426
187,37.529088,126.95971,37.528863,126.959426,37.529313,126.959994
188,37.529088,126.960278,37.528863,126.959994,37.529313,126.960562
189,37.529088,126.960846,37.528863,126.960562,37.529313,126.961131
190,37.529088,126.961415,37.528863,126.961131,37.529313,126.961699
191,37.529088,126.961983,37.528863,126.961699,37.529313,126.962267
192,37.529088,126.962551,37.528863,126.962267,37.529313,126.962835
193,37.529088,126.963119,37.528863,126.962835,37.529313,126.963404
194,37.529088,126.963688,37.528863,126.963404,37.529313,126.963972
195,37.529088,126.964256,37.528863,126.963972,37.529313,126.96454
196,37.529088,126.964824,37.528863,126.96454,37.529313,126.965108
197,37.529088,126.965392,37.528863,126.965108,37.529313,126.965676
198,37.529088,126.965961,37.528863,126.965676,37.529313,126.966245
199,37.529088,126.966529,37.528863,126.966245,37.529313,126.966813
200,37.529088,126.967097,37.528863,126.966813,37.529313,126.967381
201,37.529088,126.967665,37.528863,126.967381,37.529313,126.967949
202,37.529088,126.968234,37.528863,126.967949,37.529313,126.968518
203,37.529539,126.9563,37.529313,126.956016,37.529764,126.956585
204,37.529539,126.956869,37.529313,126.956585,37.529764,126.957153
205,37.529539,126.957437,37.529313,126.957153,37.529764,126.957721
206,37.529539,126.958005,37.529313,126.957721,37.529764,126.958289
207,37.529539,126.958573,37.529313,126.958289,37.529764,126.958858
