연도,시도,자치구,학교급,설립구분,학교,우편번호,주소,경도,위도
2021,서울특별시,용산구,유치원,공립,서울한남초등학교병설유치원,4418,서울특별시 용산구 한남대로 112,127.0043572,37.53942708
2021,서울특별시,용산구,유치원,사립,강변유치원,4426,서울특별시 용산구 이촌로84길 9-7,126.9774158,37.51833528
2021,서울특별시,용산구,유치원,사립,계성유치원,4357,서울특별시 용산구 효창원로15길 15,126.9527834,37.53586318
2021,서울특별시,용산구,유치원,사립,대건유치원,4423,서울특별시 용산구 이촌로81길 38,126.9773565,37.52106386
2021,서울특별시,용산구,유치원,사립,도원유치원,4356,서울특별시 용산구 새창로12길 11-8,126.9576929,37.538893
2021,서울특별시,용산구,유치원,사립,복자유치원,4327,서울특별시 용산구 후암로34길 21-8,126.9784957,37.55196948
2021,서울특별시,용산구,유치원,사립,원유치원,4423,서울특별시 용산구 이촌로81길 14,126.9768175,37.51964978
2021,서울특별시,용산구,유치원,사립,일민유치원,4358,서울특별시 용산구 효창원로 17,126.9490914,37.53499649
2021,서울특별시,용산구,유치원,사립,충신유치원,4422,서울특별시 용산구 이촌로71길 14,126.9731414,37.52102035
2021,서울특별시,용산구,유치원,사립,한가람유치원,4424,서울특별시 용산구 이촌로89길 50,126.9812636,37.51952283
2021,서울특별시,용산구,초등학교,공립,서울금양초등학교,4318,서울특별시 용산구 효창원로 137,126.9618219,37.54092641
2021,서울특별시,용산구,초등학교,공립,서울남정초등학교,4368,서울특별시 용산구 원효로64길 17-10,126.9649749,37.53530044
2021,서울특별시,용산구,초등학교,공립,서울보광초등학교,4407,서울특별시 용산구 우사단로 20,126.996395,37.53254762
2021,서울특별시,용산구,초등학교,공립,서울삼광초등학교,4335,서울특별시 용산구 두텁바위로1나길 19,126.9761969,37.54740524
2021,서울특별시,용산구,초등학교,공립,서울서빙고초등학교,4384,서울특별시 용산구 서빙고로51길 14,126.9922883,37.52204946
2021,서울특별시,용산구,초등학교,공립,서울신용산초등학교,4423,서울특별시 용산구 이촌로 255,126.9751863,37.52029034
2021,서울특별시,용산구,초등학교,공립,서울용산초등학교,4375,서울특별시 용산구 한강대로57길 33,126.9719755,37.53570268
2021,서울특별시,용산구,초등학교,공립,서울용암초등학교,4341,서울특별시 용산구 녹사평대로60길 39,126.9894344,37.54530223
2021,서울특별시,용산구,초등학교,공립,서울원효초등학교,4357,서울특별시 용산구 효창원로13길 38,126.9518763,37.53637049
2021,서울특별시,용산구,초등학교,공립,서울이태원초등학교,4345,서울특별시 용산구 녹사평대로40길 19,126.9874266,37.53545411
2021,서울특별시,용산구,초등학교,공립,서울청파초등학교,4306,서울특별시 용산구 효창원로 228,126.9648704,37.54754824
2021,서울특별시,용산구,초등학교,공립,서울한강초등학교,4388,서울특별시 용산구 한강대로14길 9,126.9650999,37.52522732
2021,서울특별시,용산구,초등학교,공립,서울한남초등학교,4418,서울특별시 용산구 한남대로 112,127.0043572,37.53942708
2021,서울특별시,용산구,초등학교,공립,서울후암초등학교,4328,서울특별시 용산구 두텁바위로 140,126.9823119,37.55122689
2021,서울특별시,용산구,초등학교,사립,신광초등학교,4313,서울특별시 용산구 청파로 263,126.9701928,37.54330994
2021,서울특별시,용산구,중학교,공립,선린중학교,4314,서울특별시 용산구 원효로97길 33-4,126.9658828,37.54300326
2021,서울특별시,용산구,중학교,공립,용강중학교,4423,서울특별시 용산구 이촌로65가길 91,126.9758695,37.5214088
2021,서울특별시,용산구,중학교,공립,용산중학교,4353,서울특별시 용산구 두텁바위로 74,126.980924,37.54606507
2021,서울특별시,용산구,중학교,공립,한강중학교,4384,서울특별시 용산구 녹사평대로 73,126.992466,37.52370421
2021,서울특별시,용산구,중학교,사립,배문중학교,4305,서울특별시 용산구 효창원로 258,126.9642222,37.54964319
2021,서울특별시,용산구,중학교,사립,보성여자중학교,4338,서울특별시 용산구 신흥로3가길 66,126.9842841,37.54308172
2021,서울특별시,용산구,중학교,사립,성심여자중학교,4361,서울특별시 용산구 원효로19길 49,126.954586,37.5335235
2021,서울특별시,용산구,중학교,사립,신광여자중학교,4313,서울특별시 용산구 청파로 263,126.9701928,37.54330994
2021,서울특별시,용산구,중학교,사립,오산중학교,4396,서울특별시 용산구 보광로7길 17,127.0003026,37.52567337
2021,서울특별시,용산구,고등학교,공립,선린인터넷고등학교,4314,서울특별시 용산구 원효로97길 33-4,126.9658828,37.54300326
2021,서울특별시,용산구,고등학교,공립,용산고등학교,4353,서울특별시 용산구 두텁바위로 60,126.9789923,37.54497945
2021,서울특별시,용산구,고등학교,공립,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,126.9673562,37.52433842
2021,서울특별시,용산구,고등학교,공립,중경고등학교,4426,서울특별시 용산구 이촌로84길 34,126.9762907,37.51770611
2021,서울특별시,용산구,고등학교,사립,배문고등학교,4305,서울특별시 용산구 효창원로 258,126.9642222,37.54964319
2021,서울특별시,용산구,고등학교,사립,보성여자고등학교,4338,서울특별시 용산구 신흥로3가길 66,126.9842841,37.54308172
2021,서울특별시,용산구,고등학교,사립,서울디지텍고등학교,4346,서울특별시 용산구 회나무로12길 27,126.9906186,37.53897202
2021,서울특별시,용산구,고등학교,사립,성심여자고등학교,4361,서울특별시 용산구 원효로19길 49,126.954586,37.5335235
2021,서울특별시,용산구,고등학교,사립,신광여자고등학교,4313,서울특별시 용산구 청파로 263,126.9701928,37.54330994
2021,서울특별시,용산구,고등학교,사립,오산고등학교,4396,서울특별시 용산구 보광로7길 17,127.0003026,37.52567337
2021,서울특별시,용산구,평생학교,사립,학력인정 서울자동차고등학교,4319,서울특별시 용산구 백범로45길 15,126.9584141,37.54149869
2021,서울특별시,성동구,유치원,공립,서울경동유치원,4781,서울특별시 성동구 성수일로 34,127.0505122,37.54360478
2021,서울특별시,성동구,유치원,공립,서울경수초등학교병설유치원,4785,서울특별시 성동구 뚝섬로13길 22,127.05807,37.54044251
2021,서울특별시,성동구,유치원,공립,서울경일초등학교병설유치원,4774,서울특별시 성동구 뚝섬로 332,127.0466116,37.54060071
2021,서울특별시,성동구,유치원,공립,서울금호초등학교병설유치원,4726,서울특별시 성동구 무수막길 69,127.0199438,37.5527965
2021,서울특별시,성동구,유치원,공립,서울동명초등학교병설유치원,4705,서울특별시 성동구 마장로29길 29,127.0354083,37.56815426
2021,서울특별시,성동구,유치원,공립,서울마장초등학교병설유치원,4753,서울특별시 성동구 마장로35나길 31,127.0421279,37.56831013
2021,서울특별시,성동구,유치원,공립,서울무학초등학교병설유치원,4710,서울특별시 성동구 무학봉15길 21,127.0273315,37.5628737
2021,서울특별시,성동구,유치원,공립,서울사근초등학교병설유치원,4761,서울특별시 성동구 사근동11길 16,127.0496697,37.55424436
2021,서울특별시,성동구,유치원,공립,서울성수초등학교병설유치원,4798,서울특별시 성동구 아차산로17길 21,127.0631681,37.5443136
2021,서울특별시,성동구,유치원,공립,서울송원초등학교병설유치원,4800,서울특별시 성동구 동일로43길 9,127.0695264,37.55415944
2021,서울특별시,성동구,유치원,공립,서울숭신초등학교병설유치원,4702,서울특별시 성동구 마장로 161,127.027889,37.56742246
2021,서울특별시,성동구,유치원,공립,서울옥수초등학교병설유치원,4740,서울특별시 성동구 금호로1길 25,127.0226026,37.54618794
2021,서울특별시,성동구,유치원,공립,서울옥정초등학교병설유치원,4735,서울특별시 성동구 한림말길 43,127.0156315,37.54222632
2021,서울특별시,성동구,유치원,공립,서울용답초등학교병설유치원,4805,서울특별시 성동구 용답25길 1,127.0517848,37.56194644
2021,서울특별시,성동구,유치원,사립,경동유치원,4718,서울특별시 성동구 금호로 100,127.0256097,37.55343232
2021,서울특별시,성동구,유치원,사립,금호유치원,4729,서울특별시 성동구 금호산2길 35,127.0235921,37.54867966
