,교량명,소재지지번주소,교량 위도,교량 경도
8423,상계교,서울특별시 도봉구 방학동 ,37.6618285,127.05139750000001
8424,창동교,서울특별시 노원구 상계동 ,37.653005,127.05421849999999
8425,월계1교,서울특별시 노원구 월계동 ,37.632743500000004,127.063042
8426,월릉교,서울특별시 중랑구 묵동 ,37.61625,127.0713245
8427,당현1교,서울특별시 노원구 중계동 ,37.646556000000004,127.06339249999999
8428,당현3교,서울특별시 노원구 상계동 ,37.644921499999995,127.0612495
8429,화랑고가차도,서울특별시 노원구 월계동 ,37.6149665,127.066197
8430,장월1교,서울특별시 성북구 종암동 ,37.602318,127.0378815
8431,장월2교,서울특별시 성북구 종암동 ,37.602274,127.038284
8432,성북3교,서울특별시 성북구 동소문동5가 ,37.5913175,127.013716
8433,하늘다리,서울특별시 성북구 동소문동5가 ,37.5903805,127.016668
8434,미아리구름다리,서울특별시 성북구 돈암동 ,37.597781,127.0217215
8435,당현천4복개구조물,서울특별시 노원구 상계동 ,37.6594095,127.072175
8436,솔샘고가차도,서울특별시 성북구 정릉동 ,37.615246,127.00890000000001
8437,관수교,서울특별시 종로구 장사동 ,37.5683715,126.992392
8438,삼일교,서울특별시 중구 장교동 ,37.5681295,126.9876355
8439,장통교,서울특별시 중구 삼각동 ,37.568367499999994,126.98567299999999
8440,광교,서울특별시 중구 남대문로1가 ,37.568869,126.982767
8441,수색교,서울특별시 마포구 상암동 ,37.5863715,126.886337
8442,증산2교,서울특별시 서대문구 북가좌동 ,37.584231,126.9107395
8443,북한천다리,서울특별시 은평구 진관동 ,37.658704,126.94744349999999
8444,삼천골다리,서울특별시 은평구 진관동 ,37.650457,126.93666999999999
8445,사천교,서울특별시 서대문구 남가좌동 ,37.5682475,126.916939
8446,홍남교,서울특별시 서대문구 남가좌동 ,37.575412,126.926456
8447,충정교,서울특별시 서대문구 충정로3가 ,37.562487000000004,126.96428
8448,홍연2교,서울특별시 서대문구 연희동 ,37.577827,126.930982
8449,홍연교,서울특별시 서대문구 연희동 ,37.5800555,126.936166
8450,홍제교,서울특별시 서대문구 홍제동 ,37.5920185,126.94425749999999
8451,성산2교,서울특별시 마포구 성산동 ,37.565627,126.9114625
8452,중동교,서울특별시 마포구 상암동 ,37.5750605,126.90125900000001
8453,증산교,서울특별시 서대문구 북가좌동 ,37.5768775,126.90311
8454,홍제2교,서울특별시 서대문구 홍제동 ,37.591019,126.941781
8455,남산육교,서울특별시 중구 남창동 ,37.557496,126.9763815
8456,백련교,서울특별시 서대문구 홍은동 ,37.5825765,126.93713199999999
8457,연희ic,서울특별시 서대문구 연희동 ,37.564599,126.929206
8458,남산1호입구 iC,서울특별시 중구 주자동 ,37.559968999999995,126.990128
