,학교명,위도,경도
22122,서울예술고등학교,37.60575733,126.9678922
22123,서일문화예술고등학교,37.57938007,127.0127949
22124,중앙고등학교,37.58378825,126.9874769
22125,서울농학교,37.58564484,126.9687697
22126,서울맹학교,37.58477105,126.9677627
22127,서울경운학교,37.57506573,126.9874251
22128,수도사랑의학교,37.5747834,126.9652287
22133,서울광희초등학교,37.56730323,127.0156935
22134,서울덕수초등학교,37.5690899,126.9746577
22135,서울장충유치원,37.55997148,127.0117038
22136,서울충무초등학교,37.56194686,127.0012304
22137,가명유치원,37.55919272,126.9669834
22138,근화유치원,37.55906553,127.0089654
22139,리라유치원,37.55781557,126.9879865
22140,수암유치원,37.54721605,127.0056591
22141,숭의여자대학교부설유치원,37.55785626,126.9874766
22142,신일유치원,37.55538651,127.0118661
22143,약수유치원,37.55545851,127.0161773
22144,영락유치원,37.56318701,126.9891816
22145,한일유치원,37.56318587,127.0200828
22147,서울남산초등학교,37.55978746,126.9867714
22149,서울봉래초등학교,37.55641141,126.9652561
22150,서울신당초등학교,37.56359405,127.023677
22151,서울장충초등학교,37.55997148,127.0117038
22152,서울청구초등학교,37.55911438,127.0137298
22154,서울흥인초등학교,37.5608693,127.0145556
22155,동산초등학교,37.5562019,127.0167221
22156,리라초등학교,37.55781557,126.9879865
22157,숭의초등학교,37.55785626,126.9874766
22158,금호여자중학교,37.55804409,127.020467
22159,덕수중학교,37.56557824,126.9969938
22160,장원중학교,37.55396813,127.0060449
22161,창덕여자중학교,37.56642955,126.9692154
22162,대경중학교,37.55637524,127.0169802
22163,장충중학교,37.55351169,127.0064131
22164,한양중학교,37.56584366,127.0113886
22165,환일중학교,37.55391598,126.9622235
22166,성동고등학교,37.56416009,127.0223905
22167,성동공업고등학교,37.56941307,127.0169449
22168,성동글로벌경영고등학교,37.56585252,127.0135279
22169,대경생활과학고등학교,37.55637524,127.0169802
22170,리라아트고등학교,37.5571328,126.9882221
22171,서울의료보건고등학교,37.55729819,126.9667153
22172,이화여자고등학교,37.5661776,126.9713243
22173,이화여자외국어고등학교,37.56557731,126.969646
22174,장충고등학교,37.55351169,127.0064131
22175,한양공업고등학교,37.56584366,127.0113886
22176,환일고등학교,37.55391598,126.9622235
22178,지구촌학교,37.48885785,126.8351755
22179,서울남정초등학교,37.53567446,126.9648069
22180,서울서빙고초등학교,37.52207188,126.9923039
22181,서울청파유치원,37.54730493,126.9635486
22182,서울한남초등학교,37.53920521,127.0055956
22183,강변유치원,37.51833094,126.9774219
22184,계성유치원,37.53585686,126.9527766
22185,대건유치원,37.52071343,126.9778532
22186,도원유치원,37.53870405,126.9578627
22187,복자유치원,37.55200063,126.9781849
22188,원유치원,37.51965023,126.9768156
22189,일민유치원,37.53442823,126.9501829
22190,충신유치원,37.52101503,126.973143
22191,한가람유치원,37.51951743,126.9812633
22192,서울금양초등학교,37.54093756,126.9618374
22194,서울보광초등학교,37.53254082,126.9963948
22195,서울삼광초등학교,37.54775193,126.9765906
22197,서울신용산초등학교,37.52062883,126.9753656
22198,서울용산초등학교,37.53561582,126.9725471
22199,서울용암초등학교,37.54530343,126.9894342
22200,서울원효초등학교,37.53616136,126.9515503
22201,서울이태원초등학교,37.53647615,126.9876748
22202,서울청파초등학교,37.54730493,126.9635486
22203,서울한강초등학교,37.52522488,126.9650982
22205,서울후암초등학교,37.55136439,126.9817246
22206,신광초등학교,37.54289634,126.9694486
22207,선린중학교,37.5427675,126.9660442
22208,용강중학교,37.521576,126.9754884
22209,용산중학교,37.54598729,126.9809263
22210,한강중학교,37.52360783,126.9927923
22211,배문중학교,37.54992111,126.9639085
22212,보성여자중학교,37.54307875,126.9842814
22213,성심여자중학교,37.53420605,126.9545987
22214,신광여자중학교,37.54289634,126.9694486
22215,오산중학교,37.52357742,127.0008929
22216,선린인터넷고등학교,37.5427675,126.9660442
22217,용산고등학교,37.545865,126.9803281
22218,용산철도고등학교,37.52434362,126.9673617
22219,중경고등학교,37.5176758,126.9756435
22220,배문고등학교,37.54992111,126.9639085
22221,보성여자고등학교,37.54307875,126.9842814
22222,서울디지텍고등학교,37.53897017,126.9906171
22223,성심여자고등학교,37.53420605,126.9545987
22224,신광여자고등학교,37.54289634,126.9694486
22225,오산고등학교,37.52357742,127.0008929
22226,서울경동유치원,37.54382383,127.0500749
22227,서울경수초등학교,37.54043669,127.0580615
22228,서울경일초등학교,37.54093957,127.0466036
22229,서울금호초등학교,37.5519013,127.020751
22230,서울동명초등학교,37.56812104,127.0351077
22231,서울마장초등학교,37.56815733,127.0417859
22232,서울무학초등학교,37.56326494,127.0296691
22233,서울사근초등학교,37.56268067,127.0475721
22234,서울성수초등학교,37.54397574,127.0634715
22235,서울송원초등학교,37.55424125,127.0695001
22236,서울숭신초등학교,37.56791633,127.0277184
22237,서울옥수초등학교,37.54553119,127.0218753
22238,서울옥정초등학교,37.54230896,127.0157841
22239,서울용답초등학교,37.56073007,127.0537656
22240,경동유치원,37.55450505,127.0261721
22241,금호유치원,37.54879419,127.0231116
22242,로사유치원,37.53947737,127.046294
22243,미타유치원,37.54360946,127.0172268
22244,성심유치원,37.56624211,127.0334226
22245,세성유치원,37.55385791,127.0340577
22246,세인유치원,37.56503804,127.0460366
22247,아이들세상유치원,37.54532728,127.0179285
22248,에덴유치원,37.5582013,127.027505
22249,옥수삼성유치원,37.54263142,127.0155536
22250,옥수예일유치원,37.54459298,127.0119858
22251,율화유치원,37.55365926,127.0384289
22252,조은유치원,37.56961486,127.0415182
22253,한양여자대학교부속유치원,37.55791918,127.0493191
22254,서울경동초등학교,37.54382383,127.0500749
22257,서울금북초등학교,37.55749294,127.0235528
22258,서울금옥초등학교,37.54620936,127.0178151
22261,서울동호초등학교,37.54660336,127.0099563
22271,서울응봉초등학교,37.55019019,127.0340031
22272,서울행당초등학교,37.55701826,127.0348771
22273,서울행현초등학교,37.557604,127.0293802
22274,한양초등학교,37.55718384,127.0475175
22275,경수중학교,37.53950068,127.0593293
22276,경일중학교,37.54380591,127.0478459
22277,광희중학교,37.55115412,127.0339794
22278,동마중학교,37.56280256,127.0403603
22279,마장중학교,37.56815733,127.0417859
22280,무학중학교,37.55757184,127.0320518
22281,성수중학교,37.54734145,127.0382496
22282,성원중학교,37.53945525,127.0513863
22283,옥정중학교,37.54167292,127.0129861
22284,행당중학교,37.55452297,127.0415981
22285,한양대학교사범대학부속중학교,37.56191749,127.0423298
22286,경일고등학교,37.54380591,127.0478459
22287,금호고등학교,37.55361746,127.0234335
22288,도선고등학교,37.56668489,127.0269873
22289,무학여자고등학교,37.55762287,127.0338847
22290,서울방송고등학교,37.54777476,127.0110385
22291,성수고등학교,37.54734145,127.0382496
22292,한양대학교사범대학부속고등학교,37.55450043,127.0466122
22293,서울구의초등학교,37.54300861,127.0803106
22294,서울신양초등학교,37.53468329,127.0699917
22295,서울신자초등학교,37.53025795,127.0755905
22296,서울양남초등학교,37.53112071,127.0892363
22297,서울양진초등학교,37.54457086,127.0983071
22298,서울용곡초등학교,37.56711166,127.088448
22299,서울자양초등학교,37.53702922,127.0796145
22300,서울중광초등학교,37.56523806,127.0826979
22301,광남유치원,37.54162459,127.1006962
22302,광장유치원,37.54854303,127.1052306
22303,대원유치원,37.53452924,127.0756284
22304,동심유치원,37.55171624,127.0726777
22305,보성유치원,37.54377922,127.1044047
22306,선경유치원,37.53339559,127.0897857
22307,선양유치원,37.5541471,127.0712781
22308,선화유치원,37.54981673,127.086791
22309,성산유치원,37.5329108,127.0841796
22310,슬기유치원,37.55205092,127.0925717
22311,어린이회관유치원,37.54724593,127.0783008
22312,영화유치원,37.55405445,127.0977177
22313,인애유치원,37.53384131,127.0683389
22314,청구이화유치원,37.54316263,127.0956081
22315,프라임유치원,37.53875102,127.0984336
22317,서울광남초등학교,37.5405236,127.1004718
22318,서울광장초등학교,37.54855308,127.1018014
22319,서울광진초등학교,37.54749306,127.0916063
22320,서울구남초등학교,37.53705291,127.0920044
22322,서울동의초등학교,37.55369368,127.0988538
22323,서울동자초등학교,37.53506091,127.0721821
22324,서울성자초등학교,37.53149014,127.0834049
22330,서울용마초등학교,37.55782883,127.0835243
22332,서울장안초등학교,37.54987596,127.0724062
22334,서울중마초등학교,37.56610952,127.0800497
22335,경복초등학교,37.54981673,127.086791
22336,성동초등학교,37.53328356,127.0892779
22337,세종초등학교,37.5530063,127.0728767
22338,광남중학교,37.54082986,127.101645
22339,광양중학교,37.53088983,127.0861729
22340,광장중학교,37.54717545,127.1019311
22341,광진중학교,37.53221811,127.0901621
22342,구의중학교,37.54285301,127.0788414
22343,신양중학교,37.53364936,127.0634307
22344,양진중학교,37.54457086,127.0983071
22345,용곡중학교,37.5660884,127.0889585
22346,자양중학교,37.53573573,127.0743576
22347,건국대학교사범대학부속중학교,37.54172107,127.0815938
22348,대원국제중학교,37.56245138,127.0893763
22349,동국대학교사범대학부속여자중학교,37.54192495,127.0869777
22350,광남고등학교,37.54151142,127.1012181
22351,광양고등학교,37.52946823,127.0852738
22352,자양고등학교,37.53607913,127.073335
22353,건국대학교사범대학부속고등학교,37.53906339,127.0747125
22354,대원고등학교,37.56245138,127.0893763
22355,대원여자고등학교,37.56245138,127.0893763
22356,대원외국어고등학교,37.56245138,127.0893763
22357,동국대학교사범대학부속여자고등학교,37.54192495,127.0869777
22358,선화예술고등학교,37.55098142,127.0870937
22359,서울광진학교,37.53767127,127.0915669
22361,서울군자초등학교,37.56411786,127.0605257
22362,서울답십리초등학교,37.56880775,127.0554295
22363,서울이문유치원,37.60189723,127.0648873
22364,서울장평초등학교,37.57399071,127.0738963
22365,서울전곡초등학교,37.58070624,127.0560153
22366,서울전동초등학교,37.57908644,127.0608021
22367,서울홍파초등학교,37.58615862,127.0393703
22368,서울휘경유치원,37.58548918,127.0580724
22369,서울휘봉초등학교,37.58567402,127.070038
22370,경희유치원,37.59395157,127.0548858
22371,그림유치원,37.57006851,127.0598625
22372,동안유치원,37.59253452,127.05684
22373,라온유치원,37.57025771,127.057596
22374,사랑유치원,37.58803142,127.0492311
22375,산정현유치원,37.59267453,127.054064
22376,삼성유치원,37.57550163,127.0496959
22377,새소리유치원,37.57664142,127.0615347
22378,새일문유치원,37.57514455,127.0716631
22379,세하유치원,37.57108063,127.0750869
22380,소화유치원,37.58305721,127.0347227
22381,신동아유치원,37.573102,127.0315794
22382,아이비유치원,37.58323783,127.0719024
22383,예일유치원,37.57734884,127.0643901
22384,정원유치원,37.57900671,127.0758382
22385,젬마유치원,37.59297034,127.0595182
22386,파스텔유치원,37.57461194,127.0601337
22389,서울동답초등학교,37.57149823,127.0640331
22390,서울배봉초등학교,37.58008059,127.0668694
22391,서울신답초등학교,37.57270813,127.0429616
22392,서울안평초등학교,37.56599275,127.0720256
22393,서울용두초등학교,37.57640968,127.0283893
22394,서울이문초등학교,37.60189723,127.0648873
22397,서울전농초등학교,37.57489197,127.0545716
22399,서울종암초등학교,37.58230393,127.0318566
22400,서울청량초등학교,37.59231088,127.0559143
22401,서울홍릉초등학교,37.59068621,127.0477027
22403,서울휘경초등학교,37.58548918,127.0580724
22405,경희초등학교,37.59395157,127.0548858
22406,서울삼육초등학교,37.58969044,127.0482476
22407,은석초등학교,37.57855561,127.0757645
22408,동대문중학교,37.5743391,127.0519182
22409,성일중학교,37.58185174,127.0338551
22410,숭인중학교,37.57366173,127.0438891
22411,장평중학교,37.5668636,127.0704753
22412,전농중학교,37.58204781,127.0592818
22413,전동중학교,37.5861946,127.070926
22414,전일중학교,37.58250017,127.0583817
22415,청량중학교,37.58822281,127.0506214
22416,휘경중학교,37.5870952,127.0617434
22417,경희여자중학교,37.59395157,127.0548858
22418,경희중학교,37.59395157,127.0548858
22419,대광중학교,37.57795227,127.0253239
22420,동국대학교사범대학부속중학교,37.57801909,127.0751371
22421,정화여자중학교,37.58604628,127.0410701
22422,휘경여자중학교,37.58189616,127.0674356
22423,청량고등학교,37.58888614,127.051315
22424,휘경공업고등학교,37.58520116,127.069489
22425,휘봉고등학교,37.58620568,127.0688991
22426,경희고등학교,37.59395157,127.0548858
22427,경희여자고등학교,37.59395157,127.0548858
22428,대광고등학교,37.57795227,127.0253239
22429,동국대학교사범대학부속고등학교,37.57801909,127.0751371
22430,서울정화고등학교,37.58604628,127.0410701
22431,해성국제컨벤션고등학교,37.58187624,127.0569743
22432,해성여자고등학교,37.58187624,127.0569743
22433,휘경여자고등학교,37.58189616,127.0674356
22434,서울동원초등학교,37.60467124,127.1042879
22435,서울면동초등학교,37.58553908,127.0862422
22436,서울면목초등학교,37.5846791,127.093918
22437,서울면북초등학교,37.59442076,127.10355
22438,서울묵현초등학교,37.60920842,127.0733698
22439,서울봉화초등학교,37.61363561,127.092344
22440,서울새솔유치원,37.61761692,127.1099438
22441,서울신묵초등학교,37.60652462,127.0758381
22442,서울신현초등학교,37.60583064,127.0932655
22443,서울양원숲초등학교,37.60901259,127.1052553
22444,서울중곡초등학교,37.57489404,127.08344
22445,서울중랑초등학교,37.58966346,127.0755028
22446,서울중목초등학교,37.59019628,127.0791197
22447,서울중흥초등학교,37.60178739,127.0842318
22448,누리에유치원,37.58648512,127.0758025
22449,동성유치원,37.60980044,127.0962981
22450,동일유치원,37.57814724,127.0846569
22451,로뎅유치원,37.60199707,127.0845464
22452,봄내유치원,37.58597521,127.0855462
22453,새아랑유치원,37.61238498,127.0961083
22454,색동유치원,37.59167739,127.0783994
22455,솔방울유치원,37.5774118,127.0909379
22456,수산유치원,37.59762299,127.0759254
22458,영은유치원,37.61410311,127.0910358
22459,예원유치원,37.60597698,127.0947247
22460,윤경유치원,37.61726849,127.0855488
22461,은성유치원,37.59701311,127.0820707
22462,이루니유치원,37.60162926,127.0917649
22463,정암유치원,37.60115328,127.1037751
22464,진달래유치원,37.59873518,127.0868625
22466,서울망우초등학교,37.59873895,127.103838
22467,서울면남초등학교,37.57726046,127.0876678
22471,서울면일초등학교,37.59204051,127.0997964
22472,서울면중초등학교,37.5824376,127.0965492
22473,서울묵동초등학교,37.6033558,127.0808264
22476,서울상봉초등학교,37.59797674,127.0831687
22477,서울새솔초등학교,37.6179775,127.1111629
22478,서울신내초등학교,37.60493699,127.1001283
22482,서울원묵초등학교,37.6177468,127.0868116
22486,서울중화초등학교,37.60291743,127.0940709
22488,금성초등학교,37.61537366,127.0898763
22489,동원중학교,37.60381856,127.1094964
22490,면목중학교,37.58329266,127.0964257
22491,봉화중학교,37.59582318,127.1043145
22492,상봉중학교,37.60152654,127.090124
22493,신현중학교,37.60440291,127.0915613
22494,용마중학교,37.57451043,127.0862636
22495,원묵중학교,37.61756517,127.0842992
22496,장안중학교,37.6008961,127.0808453
22497,중랑중학교,37.60534683,127.0807906
22498,중화중학교,37.5845307,127.0945425
22499,태릉중학교,37.61253063,127.083432
22500,송곡여자중학교,37.60686599,127.1049752
22501,영란여자중학교,37.60312939,127.105337
22502,혜원여자중학교,37.59328096,127.0970412
22503,면목고등학교,37.58465968,127.0972697
22504,신현고등학교,37.60525159,127.0929554
22505,원묵고등학교,37.6152318,127.0855058
22506,중화고등학교,37.6048104,127.0836512
22507,태릉고등학교,37.6191493,127.0852426
22508,송곡고등학교,37.60584102,127.1064598
22509,송곡관광고등학교,37.60686599,127.1049752
22510,송곡여자고등학교,37.60686599,127.1049752
22511,이화여자대학교병설미디어고등학교,37.60312939,127.105337
22512,혜원여자고등학교,37.59328096,127.0970412
22513,서울길원초등학교,37.60901337,127.016889
22514,서울길음유치원,37.61363377,127.0166584
22515,서울돈암초등학교,37.59374525,127.0131037
22516,서울동신초등학교,37.58329007,127.0170571
22517,서울삼선초등학교,37.58713699,127.01267
22518,서울석관초등학교,37.61101794,127.0583512
22519,서울성북초등학교,37.59405723,126.998775
22520,서울숭곡초등학교,37.60843301,127.032821
22521,서울숭례초등학교,37.59452318,127.0352996
22522,서울장곡초등학교,37.61692858,127.0482068
22523,서울장월초등학교,37.62168537,127.0470022
22524,서울장위초등학교,37.61143774,127.0500097
22525,서울정덕초등학교,37.59823505,127.0134182
22526,서울좋은소리유치원,37.60838979,127.018834
22527,서울청덕초등학교,37.61202812,127.0003354
22528,개동유치원,37.61577016,127.0049294
22529,나래유치원,37.60953868,127.0226471
22530,덕수유치원,37.5940007,126.9952994
22531,동덕여자대학교부속유치원,37.60625339,127.044005
22532,동선유치원,37.58402945,127.0203762
22533,두산효자유치원,37.61376036,127.0689979
22534,루이유치원,37.60712597,127.0163815
22535,반디유치원,37.59447179,127.0127091
22537,새삼선유치원,37.58998242,127.0059971
22538,새싹유치원,37.60312806,127.0145428
22539,서울베네딕도유치원,37.59966053,127.0158002
22540,선한유치원,37.60398026,127.0205906
22541,성신유치원,37.5916838,127.0220085
22542,세아유치원,37.59447179,127.0127091
22543,신암유치원,37.58678846,127.0173395
22544,아랑유치원,37.59738311,127.0193181
22545,영광유치원,37.5966645,127.0228493
22546,영암유치원,37.58236978,127.0234322
22547,영재유치원,37.59743818,127.0347637
22548,영천유치원,37.61412697,127.0404836
22549,우촌유치원,37.59564123,127.0114027
22550,은영유치원,37.58462055,127.0166887
22551,은하유치원,37.60947975,127.0586764
22552,좋은나라유치원,37.60190281,127.0364162
22553,탑주유치원,37.60477892,127.0410679
22555,한마음유치원,37.6161871,127.0411934
22556,해뜨는유치원,37.60486787,127.0157204
22557,희망찬유치원,37.59899155,127.023136
22558,서울개운초등학교,37.60171315,127.0275625
22560,서울길음초등학교,37.61363377,127.0166584
22563,서울미아초등학교,37.61058463,127.0216481
22565,서울석계초등학교,37.60881038,127.0697277
22569,서울숭덕초등학교,37.6038204,127.0132879
22571,서울숭인초등학교,37.609162,127.0382368
22572,서울안암초등학교,37.58716134,127.0221015
22573,서울월곡초등학교,37.61002754,127.0460861
22574,서울일신초등학교,37.59881584,127.0401817
22579,서울정릉초등학교,37.61985445,127.0052376
22580,서울정수초등학교,37.60377376,127.0077165
22582,광운초등학교,37.61917179,127.0548956
22583,대광초등학교,37.57915322,127.0234515
22584,매원초등학교,37.59767038,127.0191897
22585,성신초등학교,37.59462141,127.0231251
22586,우촌초등학교,37.59564123,127.0114027
22587,서울대학교사범대학부설중학교,37.59581587,127.0391331
22588,개운중학교,37.59451878,127.0248816
22589,길음중학교,37.61421678,127.017421
22590,북악중학교,37.60701115,127.0016143
22591,삼선중학교,37.59176414,127.0078644
22592,석관중학교,37.60813785,127.0667121
22593,숭곡중학교,37.60847464,127.0313028
22594,월곡중학교,37.60698149,127.0482541
22595,장위중학교,37.61129157,127.0408371
22596,종암중학교,37.59334192,127.0318837
22597,고려대학교사범대학부속중학교,37.60784133,127.0028264
22598,고명중학교,37.59767038,127.0191897
22599,남대문중학교,37.61865649,127.0558083
22600,동구여자중학교,37.59410982,127.0082183
22601,성신여자중학교,37.59462141,127.0231251
22602,용문중학교,37.58868724,127.0246632
22603,한성여자중학교,37.58199871,127.0113112
22604,홍익대학교사범대학부속중학교,37.59366777,127.0028001
22605,서울대학교사범대학부설고등학교,37.59472635,127.0381166
22606,경동고등학교,37.58649744,127.0148524
22607,서울도시과학기술고등학교,37.60781312,127.0330442
22608,석관고등학교,37.60958857,127.0667166
22609,계성고등학교,37.60754668,127.0203854
22610,고려대학교사범대학부속고등학교,37.60784133,127.0028264
22611,고명외식고등학교,37.59767038,127.0191897
22612,대일외국어고등학교,37.61330669,127.0141708
22613,서울동구고등학교,37.59410982,127.0082183
22614,성신여자고등학교,37.59429108,127.0224047
22615,용문고등학교,37.58868724,127.0246632
22616,한성여자고등학교,37.58308353,127.0117384
22617,홍익대학교사범대학부속고등학교,37.59366777,127.0028001
22618,서울다원학교,37.59394011,126.9913595
22620,서울미양초등학교,37.62153282,127.0141303
22621,서울번동초등학교,37.62898151,127.0400437
22622,서울송천초등학교,37.61490883,127.0237323
22623,서울수송초등학교,37.6373302,127.0329343
22624,서울수유초등학교,37.63125217,127.02029
22625,서울우이유치원,37.63883283,127.0152278
22626,서울화계초등학교,37.62383375,127.029767
22627,길물빛유치원,37.64195194,127.0110961
22628,꿈동산유치원,37.63215749,127.0383601
22629,성실유치원,37.64259908,127.0195519
22630,성체유치원,37.64230469,127.0209949
22631,솔샘유치원,37.62166723,127.0129618
22633,유안유치원,37.64527164,127.0104856
22634,창문유치원,37.61340427,127.0358263
22635,하나유치원,37.64549,127.024293
22636,화계유치원,37.63464615,127.0188519
22639,서울삼각산초등학교,37.61623928,127.0146759
22640,서울삼양초등학교,37.62321655,127.0161472
22641,서울송중초등학교,37.61747273,127.0320018
22645,서울오현초등학교,37.62348461,127.0466507
22646,서울우이초등학교,37.63883283,127.0152278
22647,서울유현초등학교,37.63496637,127.0129447
22648,서울인수초등학교,37.64305277,127.0091326
22650,영훈초등학교,37.6146835,127.0280961
22651,강북중학교,37.64491781,127.0253686
22652,번동중학교,37.63260027,127.0363037
22653,삼각산중학교,37.61623928,127.0146759
22654,솔샘중학교,37.62333729,127.01226
22655,수송중학교,37.63686336,127.0342433
22656,수유중학교,37.63178409,127.0105962
22657,인수중학교,37.6439797,127.0100721
22658,화계중학교,37.63251555,127.0097142
22659,서라벌중학교,37.65699352,127.0114976
22660,성암여자중학교,37.62027139,127.0239002
22661,신일중학교,37.62796728,127.0283992
22662,영훈국제중학교,37.6146835,127.0280961
22663,창문여자중학교,37.61340427,127.0358263
22664,삼각산고등학교,37.61628448,127.0201123
22665,솔샘고등학교,37.62333729,127.01226
22666,혜화여자고등학교,37.63131037,127.0132083
22667,성암국제무역고등학교,37.62027139,127.0239002
22668,신일고등학교,37.62796728,127.0283992
22669,영훈고등학교,37.6146835,127.0280961
22670,창문여자고등학교,37.61281626,127.0355393
22671,서울정인학교,37.63095722,127.0119214
22672,서울애화학교,37.62506914,127.0287881
22673,서울효정학교,37.62712765,127.0162203
22674,한빛맹학교,37.6278893,127.0157118
22675,서울가인초등학교,37.65946907,127.0429499
22676,서울도봉초등학교,37.6799657,127.0382884
22677,서울마들유치원,37.6608664,127.0474996
22678,서울방학유치원,37.66102415,127.0358463
22679,서울숭미초등학교,37.65102098,127.0279407
22680,서울신창초등학교,37.63653978,127.042088
22681,서울신학초등학교,37.6612204,127.0257225
22682,서울쌍문초등학교,37.64835989,127.0242924
22683,서울오봉초등학교,37.67192683,127.0402964
22684,서울월천초등학교,37.64819677,127.0518427
22685,서울창동초등학교,37.65536664,127.0448385
22686,꿈밭유치원,37.65830759,127.0276079
22688,덕성여자대학교부속유치원,37.65247048,127.0158299
22690,삼풍유치원,37.65679699,127.0456702
22691,선희유치원,37.65757845,127.029884
22694,신창유치원,37.6413783,127.0409722
22695,유화유치원,37.65984716,127.0274631
22696,정의유치원,37.65335548,127.0324321
22697,청남학원부속보나유치원,37.65667272,127.0227558
22698,청아유치원,37.65888793,127.0490889
22699,한별유치원,37.64192185,127.0380078
22700,한사랑유치원,37.64787131,127.0483453
22701,햇살유치원,37.64922372,127.0252444
22702,행복한유치원,37.65917433,127.0322094
22704,서울누원초등학교,37.68725367,127.0492489
22706,서울방학초등학교,37.66393619,127.0327484
22707,서울백운초등학교,37.65264171,127.0136744
22709,서울신방학초등학교,37.66667991,127.0289156
22712,서울신화초등학교,37.63319618,127.0408846
22716,서울자운초등학교,37.65787689,127.0466197
22717,서울창경초등학교,37.65659892,127.0346001
22718,서울창도초등학교,37.66413849,127.048784
22720,서울창림초등학교,37.64323957,127.0416055
22721,서울창원초등학교,37.65264216,127.0399776
22722,서울창일초등학교,37.64768491,127.0475771
22723,서울초당초등학교,37.65863038,127.0219595
22724,동북초등학교,37.65645488,127.0269293
22725,한신초등학교,37.65335548,127.0324321
22726,노곡중학교,37.64879764,127.0537389
22727,도봉중학교,37.67088132,127.0458188
22728,방학중학교,37.66545245,127.0308585
22729,백운중학교,37.65650015,127.035746
22730,북서울중학교,37.68145497,127.0430421
22731,신도봉중학교,37.64963265,127.0333416
22732,신방학중학교,37.66413891,127.0289034
22733,창동중학교,37.66413849,127.048784
22734,창북중학교,37.64911882,127.038833
22735,창일중학교,37.64887041,127.0470973
22736,효문중학교,37.65269909,127.0183994
22737,선덕중학교,37.65645488,127.0269293
22738,정의여자중학교,37.65335548,127.0324321
22739,누원고등학교,37.6855652,127.049928
22740,서울문화고등학교,37.66413544,127.0472879
22741,자운고등학교,37.6593224,127.0504547
22742,창동고등학교,37.65103791,127.0388197
22743,효문고등학교,37.65269909,127.0183994
22744,서울외국어고등학교,37.64577933,127.0515108
22745,선덕고등학교,37.65645488,127.0269293
22746,세그루패션디자인고등학교,37.65645488,127.0269293
22747,정의여자고등학교,37.65335548,127.0324321
22748,서울도솔학교,37.69483026,127.0424282
22749,서울계상초등학교,37.6621976,127.0686775
22750,서울공릉초등학교,37.61861619,127.0746352
22751,서울공연초등학교,37.62754454,127.0745134
22752,서울노일유치원,37.67246109,127.0540284
22753,서울당현초등학교,37.64825671,127.0582106
22754,서울동일초등학교,37.66481247,127.0541707
22755,서울상경초등학교,37.67047795,127.0516731
22756,서울상계초등학교,37.65962148,127.0664996
22757,서울상곡초등학교,37.66290221,127.0620722
